country,country_code,year,health_exp,life_expect,pct_family_history,pct_treatment,pct_history,pct_coping_struggles
Australia,AUS,2020,10.6837368,83.2,48.2243611018918,60.43810155990707,31.646199800862927,48.00862927314968
Belgium,BEL,2020,11.19751263,80.6951219512195,0.0,0.0,31.31067961165049,49.75728155339806
Bosnia and Herzegovina,BIH,2020,9.7,76.225,100.0,0.0,32.05128205128205,45.8974358974359
Brazil,BRA,2020,10.18235016,74.009,33.33333333333333,33.33333333333333,32.05128205128205,45.8974358974359
Canada,CAN,2020,13.0351181,81.6604878048781,41.21542240734807,53.9463847057567,31.75798355228025,47.426038662821746
Switzerland,CHE,2020,11.73206806,83.0,75.0,50.0,32.05128205128205,45.8974358974359
Colombia,COL,2020,8.71432114,74.769,0.0,0.0,32.05128205128205,45.8974358974359
Costa Rica,CRI,2020,7.8254571,79.277,0.0,0.0,32.05128205128205,45.8974358974359
Germany,DEU,2020,12.69255257,81.0414634146342,33.33333333333333,50.0,32.05128205128205,45.8974358974359
Denmark,DNK,2020,10.56,81.6024390243903,100.0,100.0,32.05128205128205,45.8974358974359
Finland,FIN,2020,9.63,81.9317073170732,0.0,0.0,32.05128205128205,45.8974358974359
France,FRA,2020,12.13096142,82.1756097560976,33.33333333333333,0.0,32.05128205128205,45.8974358974359
United Kingdom,GBR,2020,12.15863419,80.3512195121951,29.51521282390475,49.41249708193915,31.861333748346432,46.88740175861801
Georgia,GEO,2020,8.43,72.765,0.0,0.0,32.05128205128205,45.8974358974359
Greece,GRC,2020,9.50363827,81.2878048780488,0.0,0.0,32.05128205128205,45.8974358974359
Croatia,HRV,2020,7.72,77.7243902439024,0.0,100.0,32.05128205128205,45.8974358974359
India,IND,2020,3.34,70.15,15.645277577505407,29.704397981254505,31.83129055515501,47.04397981254506
Ireland,IRL,2020,7.1091466,82.5560975609756,42.97043979812545,49.20692141312185,31.83129055515501,47.04397981254506
Israel,ISR,2020,7.71,82.6487804878049,0.0,0.0,32.05128205128205,45.8974358974359
Italy,ITA,2020,9.63,82.1951219512195,0.0,0.0,32.05128205128205,45.8974358974359
Moldova,MDA,2020,7.0,70.166,0.0,100.0,32.05128205128205,45.8974358974359
Mexico,MEX,2020,6.22204065,70.133,0.0,0.0,32.05128205128205,45.8974358974359
Nigeria,NGA,2020,3.38063431,52.887,0.0,0.0,32.05128205128205,45.8974358974359
Netherlands,NLD,2020,11.21,81.3585365853659,39.701391245334236,33.0844927044452,31.947743467933492,46.43705463182898
New Zealand,NZL,2020,10.07205391,82.2560975609756,41.323971915747244,80.44132397191575,31.745235707121367,47.492477432296894
Philippines,PHL,2020,5.16,72.119,0.0,0.0,32.05128205128205,45.8974358974359
Poland,POL,2020,6.5,76.5,0.0,100.0,31.31067961165049,49.75728155339806
Portugal,PRT,2020,10.55,80.9756097560976,0.0,0.0,32.05128205128205,45.8974358974359
Singapore,SGP,2020,5.71281767,83.5439024390244,0.0,0.0,32.05128205128205,45.8974358974359
Sweden,SWE,2020,11.33,82.3560975609756,30.80198722498226,29.240596167494676,31.61816891412349,48.15471965933286
Thailand,THA,2020,4.35728741,79.274,0.0,0.0,32.05128205128205,45.8974358974359
United States,USA,2020,18.75621986,76.9804878048781,44.26062997641675,54.30686249328694,31.759170616667053,47.41985196254699
South Africa,ZAF,2020,8.57258797,65.252,60.88264794383149,60.88264794383149,31.745235707121367,47.492477432296894
